Material               Ra      Rb       Va    Vb    Xa     Xb     Pa     Pb
NdAlO3_anti            1.410   0.675   3.000   3.000   1.140   1.610   5.010   0.790   
LaAlO3_anti            1.500   0.675   3.000   3.000   1.100   1.610   6.070   0.790   
NdAlO3_anti            1.410   0.675   3.000   3.000   1.140   1.610   5.010   0.790   
LaNiO3_anti            1.500   0.700   3.000   3.000   1.100   1.910   6.070   1.230   
SrGeO3_none            1.580   0.670   2.000   4.000   0.950   2.010   4.240   1.630   
SrGeO3_none            1.580   0.670   2.000   4.000   0.950   2.010   4.240   1.630   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
BaSnO3_none            1.750   0.830   2.000   4.000   0.890   1.960   6.400   2.830   
BaSnO3_none            1.750   0.830   2.000   4.000   0.890   1.960   6.400   2.830   
BaSnO3_none            1.750   0.830   2.000   4.000   0.890   1.960   6.400   2.830   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
SrGeO3_none            1.580   0.670   2.000   4.000   0.950   2.010   4.240   1.630   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
SrGeO3_none            1.580   0.670   2.000   4.000   0.950   2.010   4.240   1.630   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
BaSnO3_none            1.750   0.830   2.000   4.000   0.890   1.960   6.400   2.830   
BaSnO3_none            1.750   0.830   2.000   4.000   0.890   1.960   6.400   2.830   
SrGeO3_none            1.580   0.670   2.000   4.000   0.950   2.010   4.240   1.630   
SrGeO3_none            1.580   0.670   2.000   4.000   0.950   2.010   4.240   1.630   
BaSnO3_none            1.750   0.830   2.000   4.000   0.890   1.960   6.400   2.830   
BaSnO3_none            1.750   0.830   2.000   4.000   0.890   1.960   6.400   2.830   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
BaSnO3_none            1.750   0.830   2.000   4.000   0.890   1.960   6.400   2.830   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
